Vimeo ID,Title,Description,Duration (min),Embed URL,Thumbnail URL,Tags,Categories,Provincie,Gemeente,Organizations,Views,Created Date
1123129781,"Diepenveen: Oranje rondje om het dorp","Dit rondje loop je langs het kerkenpad, velden, parkbossen en wateren zoals de Zandwetering en de Molenkolk. Een mooi zomers rondje!",37,https://player.vimeo.com/video/1123129781?h=c2b8924526&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/2064695926-66528839dd136de33eaa18708e794104c20514dd6099cf0f541bc7ed047a0481-d_1920x1080?&r=pad&region=us,"water, bos, Gemeente Deventer, Provincie Overijssel","",Overijssel,Deventer,"",0,2025-09-30T08:41:52+00:00
1123119434,"Diepenveen: Klooster Nieuw Sion Pelgrimtocht Zomer","Een mooie ronde bij het voormalig Klooster Abdei Sion. Geniet van deze zomer wandeling!",22,https://player.vimeo.com/video/1123119434?h=1423a47819&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/2064683280-35d93b344a5c195109be601898c832da4d16d372fa4d9381537cac0851e9691e-d_1920x1080?&r=pad&region=us,"Krekels, Zomer, Gemeente Deventer, Provincie Overijssel","",Overijssel,Deventer,"",0,2025-09-30T07:59:04+00:00
1123114957,"Diepenveen: Klooster Nieuw Sion Pelgrimtocht","Een rondje in de zomer bij het voormalig Abdei Sion.",41,https://player.vimeo.com/video/1123114957?h=74a115585e&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/2064678887-8d113e01b755afe90f785220196cc3f28a4eab56645f8f96d7a5dbf0c88e9566-d_1920x1080?&r=pad&region=us,"krekels, bos, zomer, Gemeente Deventer, Provincie Overijssel","",Overijssel,Deventer,"",0,2025-09-30T07:39:02+00:00
1123108426,"Lemelerberg Zomer: De leeuw, dikke steen & hoogste punt","Geniet van deze ochtendwandeling op de Lemelerberg in de zomer. De heide staat vol in bloei! Dit is de korte versie van deze route.",23,https://player.vimeo.com/video/1123108426?h=a83227f50d&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/2064669546-86ce70b67fe3a9c1549b309e7c41e421cf84233ffe8a115156d5e3bdb2bcb125-d_1920x1080?&r=pad&region=us,"Overijssel, Gemeente Ommen, zomer, heide","",,Ommen,"",0,2025-09-30T07:11:05+00:00
1123107437,"Lemelerberg: Zomer: De leeuw, dikke steen & hoogste punt","Loop mee op de |emelerberg met de prachtige bloeiende heide tijdens deze vroege ochtend wandeling in de zomer Lange versie van deze opname..",41,https://player.vimeo.com/video/1123107437?h=13674f335f&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/2064668749-72b477b0a4ba9f9c5736d6eb2e1130c5ad1627964fde0742d21772b06918bb59-d_1920x1080?&r=pad&region=us,"Zonsopkomst, Heide, Zomer","",,,"",0,2025-09-30T07:05:46+00:00
1123107209,"41 Lemelerberg 01 de leeuw dikke steen hoogste punt zomer_LANG","",0,https://player.vimeo.com/video/1123107209?h=54b505027f&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/default-2308240_1920x1080?&region=us,"","",,,"",0,2025-09-30T07:04:44+00:00
1123107147,"41 Lemelerberg 01 de leeuw dikke steen hoogste punt zomer_LANG","",0,https://player.vimeo.com/video/1123107147?h=3053f4faf5&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/default-2308240_1920x1080?&region=us,"","",,,"",0,2025-09-30T07:04:28+00:00
1123106775,"Lemelerberg De leeuw Dikke steen & Hoogste punt Zomer","",23,https://player.vimeo.com/video/1123106775?h=79fe97cfca&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/2064667445-43f1ce22e45a85bceeee45af5fbc7d7458bdcb03bca6797d34474ca587733039-d_1920x1080?&r=pad&region=us,"","",,,"",1,2025-09-30T07:02:36+00:00
1120843852,"Holterberg, Holten herfst","Een herfstroute die start boven op de Holterberg. We maken een rondje.",23,https://player.vimeo.com/video/1120843852?h=fdcef7bd65&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/2061728876-43d7447479bc8f410d4df4638207e5722eb8427ecb0f26ac39c968b1c74703d0-d_1920x1080?&r=pad&region=us,"","",,,"",0,2025-09-22T14:02:04+00:00
1120843449,"3. Holterberg, holten Lang","",0,https://player.vimeo.com/video/1120843449?h=2743c11f70&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/default-2308240_1920x1080?&region=us,"","",,,"",0,2025-09-22T14:01:03+00:00
1120843045,"Holterberg, Holten korte route","",23,https://player.vimeo.com/video/1120843045?h=62d99e3c9c&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/2061727729-c6ce745de5c22198bd5f889b913c7fa51336a3b9d89b7b5cbe35b01ed0375440-d_1920x1080?&r=pad&region=us,"","",,,"",0,2025-09-22T14:00:08+00:00
1119710317,"2. haarlerberg Lang","",0,https://player.vimeo.com/video/1119710317?h=37d9e1d5d7&title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,https://i.vimeocdn.com/video/default-2308240_1920x1080?&region=us,"","",,,"",0,2025-09-18T08:37:03+00:00
